timestamp,code,i01,i02r,i03,i04,i05,i06r,i07,i08,i09,i10,n_facebook_friends,n_hangover,age,sex,extra_single_item,time_conversation,presentation,n_party,clients,extra_vignette,i21,extra_vignette2,major,smoker,sleep_week,sleep_wend,clients_freq,extra_mean,extra_md,extra_aad,extra_mode,extra_iqr
22.10.2015 19:45:24,MWM,3,4,2,4,3,4,4,2,4,3,234,3,30,Mann,3,NA,NA,30,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.3,3.5,0.7,4,1
25.10.2015 14:36:11,WUB,4,3,1,4,4,2,4,3,3,3,520,10,26,Frau,4,2,ja,26,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA,4,3.1,3,0.72,3,1
02.11.2015 20:49:58,EGH,4,3,2,4,3,3,3,3,4,4,228,0,32,Frau,4,5,nein,15,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA,4,3.3,3,0.5599999999999999,3,1
18.11.2015 16:30:52,mzr,1,1,3,3,1,2,2,1,1,4,NA,0,45,Mann,1,45,ja,0,im Schnitt 1 Mal pro Monat,NA,NA,NA,NA,NA,NA,NA,2,1.9,1.5,0.9,1,1.75
02.12.2015 16:15:52,BMM,3,2,1,2,2,1,3,1,2,2,NA,4,23,Mann,3,30,nein,7,im Schnitt 1 Mal pro Monat,NA,NA,NA,NA,NA,NA,NA,2,1.9,2,0.54,2,0.75
03.12.2015 14:29:09,GKM,4,3,1,4,3,3,4,3,4,2,360,10,21,Frau,2,30,nein,30,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.1,3,0.72,3,1
03.12.2015 19:34:45,shm,3,4,1,3,3,2,2,2,4,2,315,0,24,Frau,2,45,nein,3,3 Mal pro Woche,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.5,0.8,2,1
04.12.2015 15:40:50,FHM,3,4,2,3,4,3,3,2,4,2,NA,0,22,Mann,3,30,nein,5,100,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0.6,3,1.5
05.12.2015 11:11:57,kbf,4,3,2,4,2,3,2,3,3,1,629,18,21,Frau,4,30,ja,34,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,2.7,3,0.76,3,1
05.12.2015 15:30:27,JMM,4,3,2,2,3,3,2,4,4,1,391,6,21,Frau,3,30,nein,50,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA,4,2.8,3,0.8400000000000001,2,1.75
